screener.SCREENID	screener.NUMBERES	screener.RESNAME1	screener.RESNAME2	screener.RESNAME3	screener.RESNAME4	screener.SLOCNAME	screener.COUNTRY	screener.REGION	screener.SECTOR	screener.SLOCSIZE	screener.TYPE	resource.RESOURID	resource.FK_Screenid	resource.RESNAME1	resource.TYPERES	resource.ANALUNIT	resource.SECTOR1	resource.SECTOR2	resource.SURFAREA	resource.LENGTH	resource.STOREVOL	resource.FLOWVOL	resource.CONTROL	resource.QUALBETR	resource.CONFLICT	resource.VARSPACE	resource.PREDVAR1	resource.VARYEAR	resource.PREDVAR2	resource.VAROTIME	resource.PREDVAR3	oplevel.OPLEVID	oplevel.FK_RESOURID	oplevel.PROBLEM	oplevel.WELLDEFN	oplevel.BOWNCLOS	oplevel.BAPCLOSE	oplevel.BEGDATE	oplevel.ENDDATE	oplevel.ESTNDATE	oplevel.DURATION	oplevel.NEWOPRUL	oplevel.RESCHANG	oplevel.NEWTECH	oplevel.NEWVALUE	oplevel.EXTINCAP	oplevel.NEWGROUP	oplevel.INTCHANG	oplevel.INTERNAL	oplevel.BEGBLNC	oplevel.ENDBLNC	oplevel.BEGRATE1	oplevel.ENDRATE1	oplevel.BEGRATE2	oplevel.ENDRATE2	oplevel.BEGRATE3	oplevel.ENDRATE3	oplevel.BEGQUAL	oplevel.ENDQUAL	oplevel.BEGPOLL	oplevel.ENDPOLL	oplevel.BEGCONDA	oplevel.ENDCONDA	oplevel.BEGCONDD	oplevel.ENDCONDD	oplevel.BEGCONDP	oplevel.ENDCONDP	oplevel.BEGTRUST	oplevel.ENDTRUST	oplevel.EOWNCLOS	oplevel.EAPCLOSE	oplevel.EXTPOLL	oplevel.SEX	oplevel.ETHNCID	oplevel.CLANID	oplevel.RACEID	oplevel.SOCSTRAT	oplevel.RELANIMS	oplevel.COMMLANG	oplevel.CULTVWR	oplevel.OTHRCOMM	oplevel.SOCSANCT	oplevel.PHYSANCT	oplevel.MONSANCT	oplevel.VARSANCT	oplevel.BRIBERY	oplevel.MONPAID	oplevel.NUMSUBGP	oplevel.SUBGP1	oplevel.SUBGP2	oplevel.SUBGP3	oplevel.SUBGP4	oplevel.SG1TOSG2	oplevel.SG1TOSG3	oplevel.SG1TOSG4	oplevel.SG2TOSG3	oplevel.SG2TOSG4	oplevel.SG3TOSG4	oplevel.REALOSER	oplevel.REALYES	oplevel.WORSTOFF	oplevel.RELEQUTY	oplevel.CONDITON	subgroup.SUBGRPID	subgroup.SBGPDES	subgroup.BNUMUSR1	subgroup.ENUMUSR1	subgroup.BNUMUSR2	subgroup.ENUMUSR2	subgroup.SGENDER1	subgroup.SGENDER2	subgroup.SETHID1	subgroup.SETHID2	subgroup.SCLANID1	subgroup.SCLANID2	subgroup.SRACEID1	subgroup.SRACEID2	subgroup.SCASTE1	subgroup.SCASTE2	subgroup.SRELID1	subgroup.SRELID2	subgroup.SLANG1	subgroup.SLANG2	subgroup.SCULTVWR	subgroup.ACCESS	subgroup.WITHDRAW	subgroup.MANAGE	subgroup.EXCLUDED	subgroup.EXCLUDIN	subgroup.RESIDENT	subgroup.KPRESURE	subgroup.FAMINCDE	subgroup.SUBNOT	subgroup.SUBSIM	subgroup.AVERINC	subgroup.SUBVAR	subgroup.LONGVAR	subgroup.ASSETS	subgroup.ALTSUPLY	subgroup.SUBWHERE	subgroup.OLSON	subgroup.RULEFOLL	subgroup.RULEBRAK
10109	1	Lobsterfishing, Mount Desert Island, Maine				Lobsterfishing, Mount Desert Island	U.S.A.	North America	1	414400000	-2	10109.1	10109	Lobsterfishing, Mount Desert Island, Maine	1	1	1		414000000.5	0	0		2.5	1.5	2	1.5	4.4	1.4	4.4	1.4	4.4	13.1	10109.1	1	1	1	5	1920	1974	0	5	1	1	2	1	1	1	2	2	4.3	2.4	-1	-1	-2	-2	-2	-2	2.5	3.3	-1	-1	-2	-2	-2	-2	-2	-2	1.4	1.5	1.5	5.3	-1	1.5	1.5	-1	1.4	-2	-1	1.5	4.3	1.5	1.5	1.5	5.5	2.4	5.3	01000.3	1	18.1	-2	-2	-2	44444	44444	44444	44444	44444	44444	-1		-1	-1	0	18.1	The lobsterfishers who fish out of Bass Harbor and Southwest Harbor on the backside of Mount Desert Island, Maine	-1	72	-1	3.5	1.5	0%	1.5		-1		1.4	Caucasian	-2		-1		1.5	English	4.3	1.5	1.5	1.5	2.5	2.5	6.5	2.3	-1	1.4	1.4	-1	2.3	3.3	6.5	-1	-2	1.5	2.4	-2
50127	1	Cadchog Irrigation				Bontoc Poblacion	Philippines	Orient	5	30000	-1	50127.1	50127	Cadchog Irrigation	2	2	5		0	1800.5	0		1.4	-2	0	-1	-1	1.5	2.3	-1	-1	14.1	50127.1	8	1	-1	2	1975	1980	1980	2	2	1	1	1	1	1	2		3.5	3.5	-2	-2	30000.4	30000.4	-2	-2	3.3	3.3	1.3	1.3	2.3	2.3	-2	-2	2.3	2.3	1.3	1.3	-2	-2	2.4	2.3	1.3	2.3	1.3	1.3	2.3	1.3	1.3	1.3	2.2	3.2	3.3	-1	-1	-2.	1	19.1	0	0	0	44444	44444	44444	44444	44444	44444	2.2		2.2	2.2	0	19.1	All the farmers who withdraw water from the canal system	200.4	200.5	4.4	4.5	2.3		1.3		2.3		1.3		1.3		2.3		1.3		1.3	1.2	1.2	1.2	1.2	3.2	6.3	-2	1.3	-1	1.2	-1	-1	-1	-1	4.2	-2	1.3	1.4	1.4
50117	1	Agcuyo Irrigation System				Samoki	Philippines	Orient	5	90000	-1	50117.1	50117	Agcuyo Irrigation System	2	2	5		0	600	0		1.4	-2	0	2.2	-2	1.5	3.3	-1	-1	15.1	50117.1	7	1	1	2	1912	1980	1980	5	1	4	1	1	1	2	2		-1	4.5	-2	-2	-1	90000.5	-1	-1	-1	3.3	-1	1.3	-1	2.3	-1	-2	-1	6.4	-1	1.3	-2	-2	2.3	2.3	1.3	2.3	1.3	1.3	2.3	1.3	1.3	1.3	2.3	3.3	-2	-1	-2	-2.	1	20.1	0	0	0	44444	44444	44444	44444	44444	44444	2.3		2.3	2.3	0	20.1	All the farmers who withdraw water from the canal system	-1	50	-1	2.5	2.3		1.3		2.3		1.3		1.3		2.3		1.3		1.3	1.4	1.4	1.4	1.3	3.2	6.3	-2	1.3	-1	1.2	-1	-1	-1	-1	4.2	-2	2.4	1.2	1.4
50118	1	Silag-Butir Irrigation System					Philippines	Orient	5	1150000	-1	50118.1	50118	Silag-Butir Irrigation System	2	2	5		0	3700.5	0	200.5	1.5	-2	0	1.3	3.3	1.5	3.3	1.3	4.2	16.1	50118.1	7	1	1	2	1958	1978	1978	3	3	1	1	1	1	1	2		-1	2.3	-2	-2	-1	1140000	-1	-1	-1	3.3	-1	1.3	-1	2.3	-2	-2	-1	2.3	-1	1.3	-2	-2	2.3	2.3	2.3	2.3	2.3	1.3	2.3	1.3	1.3	1.3	-1	-1	2.3	2.3	3.2	00010.5	3	21.1	22.1	23.1	0	11132.3	11132.3	44444	11132.3	44444	44444	1.2	Special members may withdraw water only during the wet season.  Non-members may withdraw water only when water is abundant.	-1	-1	0	21.1	All regular members of the Silag-Butir Irrigation System Association.	-1	300	-1	5.5	2.3		2.3		2.3		2.3		1.3		2.3	Catholic	1.3		1.3	3.4	1.4	1.4	1.4	3.3	6.3	-2	2.3	6.3	6.4	3.2	-1	1.2	-1	2.4	1.4	1.2	1.3	1.3
50118	1	Silag-Butir Irrigation System					Philippines	Orient	5	1150000	-1	50118.1	50118	Silag-Butir Irrigation System	2	2	5		0	3700.5	0	200.5	1.5	-2	0	1.3	3.3	1.5	3.3	1.3	4.2	16.1	50118.1	7	1	1	2	1958	1978	1978	3	3	1	1	1	1	1	2		-1	2.3	-2	-2	-1	1140000	-1	-1	-1	3.3	-1	1.3	-1	2.3	-2	-2	-1	2.3	-1	1.3	-2	-2	2.3	2.3	2.3	2.3	2.3	1.3	2.3	1.3	1.3	1.3	-1	-1	2.3	2.3	3.2	00010.5	3	21.1	22.1	23.1	0	11132.3	11132.3	44444	11132.3	44444	44444	1.2	Special members may withdraw water only during the wet season.  Non-members may withdraw water only when water is abundant.	-1	-1	0	22.1	All appropriators who are not members of the Silag-Butir Irrigation System Association.	-1	-1	-1	-1	2.2		2.2		2.2		2.2		1.2		2.2		1.2		1.2	3.3	1.3	3.4	3.4	3.4	6.3	-2	3.2	6.2	6.2	-1	-1	-1	-1	2.2	1.3	2.3	1.2	1.2
50118	1	Silag-Butir Irrigation System					Philippines	Orient	5	1150000	-1	50118.1	50118	Silag-Butir Irrigation System	2	2	5		0	3700.5	0	200.5	1.5	-2	0	1.3	3.3	1.5	3.3	1.3	4.2	16.1	50118.1	7	1	1	2	1958	1978	1978	3	3	1	1	1	1	1	2		-1	2.3	-2	-2	-1	1140000	-1	-1	-1	3.3	-1	1.3	-1	2.3	-2	-2	-1	2.3	-1	1.3	-2	-2	2.3	2.3	2.3	2.3	2.3	1.3	2.3	1.3	1.3	1.3	-1	-1	2.3	2.3	3.2	00010.5	3	21.1	22.1	23.1	0	11132.3	11132.3	44444	11132.3	44444	44444	1.2	Special members may withdraw water only during the wet season.  Non-members may withdraw water only when water is abundant.	-1	-1	0	23.1	All special members of the Silag-Butir Irrigation System Association.	-1	35	-1	2.5	2.3		2.3		2.3		2.3		1.3		2.3		1.3		1.3	3.3	1.4	3.3	3.3	3.3	6.3	-2	-1	6.2	6.2	-1	-1	-1	-1	2.2	2.3	2.3	1.2	1.2
50093	2	Takkapala Communal System	Saebak Communal System			Desa Malino	Indonesia	Orient	5	1000000	-1	50093.1	50093	Takkapala Communal System	2	2	5		0	0	0		1.3	-1	1	-1	-1	1.3	3.2	-1	-1	17.1	50093.1	7	-1	-1	-1	1971	1971	0	1	1	1	1	1	1	1	2		3.2	3.2	-2	-2	600000.2	950000.3	-1	-1	-1	-1	-1	-1	3.3	1.4	-2	-2	3.3	1.4	1.3	1.3	-2	-2	-1	2.2	2.2	2.2	2.2	1.2	2.2	1.2	1.2	1.2	-1	-1	-1	-1	-1	-1.	1	24.1	0	0	0	44444	44444	44444	44444	44444	44444	-1		-1	-1	0	24.1	All appropriators of the Takkapala Communal Irrigation System.	-1	125	-1	4.3	2.2		2.2		2.2		2.2		1.2		2.2		1.2		1.2	1.3	1.3	1.3	1.3	-1	6.3	-2	-1	-1	-1	-1	-1	-1	5.4	-1	-2	1.2	1.2	1.2
50094	2	Saebah Communal System	Takkapala			Desa Cemplang	Indonesia	Orient	5	1000000	-1	50094.1	50094	Saebah Communal System	2	2	5		0	0	0		1.3	-1	0	-1	-1	1.3	3.2	-1	-1	18.1	50094.1	7	-1	-1	-1	1971	1972	0	2	1	1	1	1	1	1	2		3.2	3.2	-2	-2	700000.4	1000000	-1	-1	-1	-1	-1	-1	3.3	1.4	-2	-2	3.3	1.4	2.2	1.3	-2	-2	-1	2.2	2.2	2.2	2.2	1.2	2.2	1.2	1.2	1.2	-1	-1	-1	-1	-1	-1.	1	25.1	0	0	0	44444	44444	44444	44444	44444	44444	-1		-1	-1	0	25.1	All appropriators of the Saebak Communal Irrigation System.	-1	90	-1	3.3	2.2		2.2		2.2		2.2		1.2		2.2		1.2		1.2	1.3	1.3	1.3	1.3	-1	6.3	-2	-1	-1	-1	-1	-1	-1	2.4	-1	-2	1.2	1.2	1.2
50155	1	Calaoaan Irrigation				Sta Cruz municipality	Philippines	Orient	5	1500000	-1	50155.1	50155	Calaoaan Irrigation	2	2	5		-2	4500	0	125.5	1.4	-2	0	1.1	2.1	1.5	2.3	2.2	-2	19.1	50155.1	7	1	3	2	1942	1978	1978	4	1	3	1	1	1	1	2	2	-1	3.2	-2	-2	-1	1500000	-1	-1	-1	3.2	-1	1.2	-1	2.3	-2	-2	-1	1.4	-1	1.3	-2	-2	2.2	2.2	1.2	2.2	1.2	1.2	2.2	1.2	1.2	1.2	3.3	4.3	3.3	1.4	-1	00000.5	1	26.1	0	0	0	44444	44444	44444	44444	44444	44444	-1		2.3	2.3	0	26.1	All irrigators appropriating water from the resource.	-1	71	-1	3.5	2.2		1.2		2.2		1.2		1.2		2.2		1.2		1.2	1.3	1.3	2.3	1.3	3.3	6.4	-2	2.4	6.4	6.4	3.2	-1	1.2	-1	2.3	-2	1.3	1.3	1.3
50156	2	Laoag-Vintar Irrigation	Nazareno Gamutan Irrigation			Laoag-Vintar	Philippines	Orient	5	24000000	-1	50156.1	50156	Laoag-Vintar Irrigation	2	2	5	1	0	65000	0	3665.4	1.4	-2	0	1.5	2.3	1.5	2.3	1.3	4.3	20.1	50156.1	8	2	1	2	1964	1972	1972	3	4	1	1	1	1	1	2		3.2	3.3	-2	-2	24000000	24000000	-1	-1	3.3	3.3	1.3	1.3	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	-2	-2	2.3	2.3	2.3	2.3	2.3	1.3	2.3	2.3	1.3	1.3	-1	-1	4.4	-2	-1	01000.3	1	27.1	0	0	0	44444	44444	44444	44444	44444	44444	-1		2.3	2.3	0	27.1	All appropriators of this resource.	-1	5000	8.3	8.4	2.3		2.3		2.3		2.3		1.3		2.3		2.3		1.3	1.3	1.3	1.4	1.3	3.3	6.3	-2	0	-1	-1	3.3	-1	2.3	5.2	4.2	-2	1.3	1.2	1.2
50157	2	Nazareno-Gamutan Irrigation	Laoag-Vintar Irrigation			Plaridel	Philippines	Orient	5	12000000	-1	50157.1	50157	Nazareno-Gamutan Irrigation	2	2	5		0	1200.3	0	3000.3	1.3	-1	0	2.3	-2	1.3	3.3	-1	-1	21.1	50157.1	7	1	1	2	1876	1972	0	6	2	1	1	1	1	1	2		-1	-1	-2	-2	-1	12000000	-1	-1	-1	3.3	-1	1.3	-1	2.3	-1	2.3	-1	2.3	-1	1.3	-2	-2	2.3	2.3	2.3	2.3	2.3	1.3	2.3	1.3	1.3	1.3	-1	-1	2.4	1.3	-1	-1.	1	28.1	0	0	0	44444	44444	44444	44444	44444	44444	2.3		2.3	2.3	0	28.1	All appropriators of this resource.	-1	2500	-1	7.4	2.3		2.3		2.3		2.3		1.3		2.3		1.3		1.3	1.4	1.4	1.4	1.3	3.3	6.3	-2	1.3	-1	1.2	3.2	-1	-1	-1	-1	-2	2.2	1.4	1.4
10166	1	Kampong Mee Trawl Fishery				Penang Island, Malaysia	Malaysia	Orient	1	-1	-2	10166.1	10166	Kampong Mee Trawl Fishery	1	2	1		-1	0	0		2.3	1.3	1	1.3	3.3	-1	-2	1.3	4.2	23.1	10166.1	2	2	3	1	1962	1976	1976	3	1	1	2	1	1	1	2		4.3	2.3	6120.4	6120.4	-2	-2	-2	-2	2.3	4.2	-1	1.2	-2	-2	-2	-2	-2	-2	-1	-1	3.4	7.3	1.3	1.5	1.5	2.3	1.5	-2	1.5	1.5	1.5	1.3	4.3	4.3	4.3	2.2	-1	01000.2	1	29.1	0	0	0	44444	44444	44444	44444	44444	44444	1.1	Inshore fishermen who are driven away.	-1	-1	0	29.1	Trawl fishermen who live in Kampong Mee.	0	0	0	6.2	1.5	0%	1.5	Chinese	2.3	-1	1.5	Oriental	-2		1.5	Chinese folk religion	1.5	Chinese	1.3	1.3	1.3	3.2	3.3	3.3	6.4	1.4	1.4	1.4	1.3	4.5	2.3	1.2	6.2	4.2	-1	1.2	5.3	3.3
10165	1	Rusembilan Kembong Fishery				Rusembilan Kembong Fishery	Thailand	Orient	1	-1	-2	10165.1	10165	Rusembilan Kembong Fishery	1	2	1		0	0	0		2.4	-2	1	1.5	4.3	1.4	3.3	1.4	4.4	24.1	10165.1	2	-1	-1	1	1956	1957	0	2	1	1	2	1	1	1	2	-2	4.2	4.2	-1	-2	-2	-2	-2	-2	2.3	2.3	1.3	1.3	-2	-2	-2	-2	-2	-2	1.4	1.4	-1	-1	-1	1.5	1.5	2.5	1.5	-2	1.5	1.5	1.5	1.5	-1	-1	-1	-1	-1	-2.	1	30.1	0	0	0	44444	44444	44444	44444	44444	44444	2.3		2.3	-1	0	30.1	The members of this subgroup are malayan fishermen who live in the village of Rusembilan, Thailand. They use the same fishing technology.	200.3	200.3	5.3	5.3	1.5	0.	1.5	Malay	2.5		1.5	Malay	-2		1.5	Moslem	1.5	Malay	1.5	1.4	1.4	1.4	3.2	3.2	6.5	2.3	1.3	6.3	1.3	3.3	-1	-1	6.3	4.3	-1	-1	1.3	-1
10164	1	Messolonghi-Etolico Lagoon Fishery				Messolonghi-Etolico Lagoon	Greece	Europe	1	165000000	-2	10164.1	10164	Messolonghi-Etolico Lagoon Fishery	1	2	1		10500.5	-2	-2	-2.	1.5	-1	-1	1.2	-1	1.3	2.3	-1	-2	25.1	10164.1	4	1	1	2	1966	0	1985	3	4	1	1	-1	1	1	2		-1	2.2	1600.2	1400.4	-2	-2	-2	-2	3.2	3.3	-1	-1	3.3	3.3	-2	-2	-2	-2	3.3	3.4	1.4	1.4	-1	1.5	1.5	-1	1.5	-2	-1	1.5	4.3	1.3	-1	-1	-1	-1	-1	-1.	2	31.1	32.1	0	0	11144.4	44444	44444	44444	44444	44444	1	Independent fisher don't belong to coop, therefore cannot lease spots, also coops won't accept them as members	-1	-1	0	31.1	The members of this appropriation subgroup belong to eleven different coops.	-1	-1	-1	4.4	1.3	0	1.3	Greek	-1		1.3	Caucasian	-2		-1		1.3	Greek	2.3	1.5	1.5	1.5	3.3	1.3	6.5	-1	-1	1.2	1.3	3.1	-1	-1	5.1	4.3	1.5	1.5	2.3	-1
10164	1	Messolonghi-Etolico Lagoon Fishery				Messolonghi-Etolico Lagoon	Greece	Europe	1	165000000	-2	10164.1	10164	Messolonghi-Etolico Lagoon Fishery	1	2	1		10500.5	-2	-2	-2.	1.5	-1	-1	1.2	-1	1.3	2.3	-1	-2	25.1	10164.1	4	1	1	2	1966	0	1985	3	4	1	1	-1	1	1	2		-1	2.2	1600.2	1400.4	-2	-2	-2	-2	3.2	3.3	-1	-1	3.3	3.3	-2	-2	-2	-2	3.3	3.4	1.4	1.4	-1	1.5	1.5	-1	1.5	-2	-1	1.5	4.3	1.3	-1	-1	-1	-1	-1	-1.	2	31.1	32.1	0	0	11144.4	44444	44444	44444	44444	44444	1	Independent fisher don't belong to coop, therefore cannot lease spots, also coops won't accept them as members	-1	-1	0	32.1	The members of this subgroup are independent fishermen.	-1	-1	-1	4.5	1.5	0	1.5	Greek	-1		1.3	Caucasian	-2		-1		1.5	Greek	1.3	1.5	1.5	-1	3.3	3.2	6.5	-1	2.3	6.4	-1	2.4	-1	-1	-1	4.2	3.3	1.3	3.3	3.4
10167	1	Arembepe Fishery				Arembepe Hamlet	Brazil	South America	1	-1	-2	10167.1	10167	Arembepe Fishery	1	2	1		168000000.5	0	0		2.5	1.5	-2	1.5	5.5	1.5	5.5	2.3	-2	26.1	10167.1	1	1	3	1	0	1965	0	4	1	1	1	1	1	1	2		4.5	4.5	125000.4	125000.4	-2	-2	-2	-2	2.2	2.2	1.3	1.3	-2	-2	-2	-2	-2	-2	1.5	1.5	3	7	2.4	1.5	1.5	1.5	2.5	1.5	1.5	1.5	1.5	1.5	2.4	4.4	5.4	4.4	-2	-2.	1	33	0	0	0	44444	44444	44444	44444	44444	44444	2.5		2.5	2.5	0	33.1	All males who choose to fish from this harbour.	0	127	4	4	1.5	0	1.5	portuguese	1.5	none	2.5	mulato	1.5	none	1.5	catholic	1.5	portuguese	1.5	1.5	1.5	3.4	3.4	3.5	5	1.5	1.4	4.4	1.5	2.5	1.5	2.4	2	4.5	-2	2	1.5	1.5
10168	1	Coqueiral Raft Fishery				Coqueiral Raft Fishery	Brazil	South America	1	1755000000	-2	10168.1	10168	Coqueiral Raft Fishery	1	2	1		518000000.5	0	0		2.5	1.3	1	1.5	3.4	1.5	2.4	1.5	4.3	27.1	10168.1	2	1	2	5	1938	1967	0	4	4	1	1	1	1	1	2		4.3	4.3	-1	-1	-2	-2	-2	-2	-1	2.2	-1	1.3	-2	-2	-2	-2	-2	-2	1.2	1.4	2.3	4.3	2.2	1.5	1.5	2.4	1.3	-2	1.5	1.5	1.5	1.5	-1	-1	-1	-1	-1	-2.	1	34.1	0	0	0	44444	44444	44444	44444	44444	44444	1.5	All appropriators disadvantaged, mayor and head of fishermen guild set low price ceilings of catch resulting in perverse results.	-1	-1	0	34.1	The raft fishermen live in Coqueiral.	-1	85	-1	3.5	1.5	0%	1.5		2.5		1.5		-2		1.5		1.5		1.5	1.5	1.5	2.3	2.3	3.3	6.5	2.5	1.3	1.3	1.3	1.5	2.2	-1	6.3	4.3	-2	2.3	3.3	3.3
10169	1	Jambudwip Fishery				Jambudwip Fishery	India	Middle East & South Asia	1	-1	-2	10169.1	10169	Jambudwip Fishery	1	2	1		-1	-2	-2	-2.	2.4	1.5	1	1.5	2.4	1.5	2.4	1.3	4.3	28.1	10169.1	2	1	-1	5	1964	1968	1968	2	1	1	1	1	1	1	2		-1	-1	-1	-1	-2	-2	-2	-2	3.2	3.2	-1	-1	-2	-2	-2	-2	-2	-2	1.4	1.4	-1	4.4	-1	1.5	1.5	2.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	4.3	-2	3.3	4.2	-2.	2	35.1	36.1	0	0	12222.4	44444	44444	44444	44444	44444	-1		-1	-1	0	35.1		-1	95	-1	3.5	1.5	0%	1.5	Pakistani	2.5		1.5		1.5	Kaibarta (fishing caste)	1.5	Hindu	1.5		1.5	1.4	1.4	2.4	3.4	2.5	6.5	-1	1.3	6.4	1.4	2.3	2.3	-1	6.4	4.4	-1	-1	1.4	-2
10169	1	Jambudwip Fishery				Jambudwip Fishery	India	Middle East & South Asia	1	-1	-2	10169.1	10169	Jambudwip Fishery	1	2	1		-1	-2	-2	-2.	2.4	1.5	1	1.5	2.4	1.5	2.4	1.3	4.3	28.1	10169.1	2	1	-1	5	1964	1968	1968	2	1	1	1	1	1	1	2		-1	-1	-1	-1	-2	-2	-2	-2	3.2	3.2	-1	-1	-2	-2	-2	-2	-2	-2	1.4	1.4	-1	4.4	-1	1.5	1.5	2.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	4.3	-2	3.3	4.2	-2.	2	35.1	36.1	0	0	12222.4	44444	44444	44444	44444	44444	-1		-1	-1	0	36.1		-1	148	-1	4.5	1.5	0%	1.5	Pakistani	2.5		1.5		1.5	Raibarta (fishing caste)	1.5	Hindu	1.5		1.5	1.4	1.4	2.4	3.4	2.5	1.4	-1	1.3	6.4	1.4	2.3	2.3	-1	6.4	4.4	-1	-1	1.4	-2
10187	1	Miskito Turtle Fishery				Tasbapauni	Nicaragua	Central America & Caribbean	1	1554000000	-2	10187.1	10187	Miskito Turtle Fishery	1	2	1		1813000000.5	0	0		2.5	1.5	1	1.5	2.5	1.5	2.5	2.4	-2	29.1	10187.1	8	1	-1	5	1860	1969	0	7	1	1	1	1	1	2	2		5.3	2.4	-1	82.4	-2	-2	-2	-2	2.4	3.4	1.3	1.3	-2	-2	-2	-2	-2	-2	1.4	1.4	1.4	4.4	-1	1.5	1.5	2.5	1.5	-2	2.5	2.5	3.4	1.5	-1	-1	-1	-1	-1	-2.	2	37.1	38.1	0	0	21212.4	44444	44444	44444	44444	44444	-1		-1	-1	0	37.1	This subgroup includes males who live in Tasbapauni and who turtle part-time.	0	26.5	0	2.5	1.5	0%	1.5	Miskito Indian	2.5		1.5	Indian	-2		-1		2.5	Miskito	2.5	1.4	1.4	2.4	2.4	3.4	6.4	2.4	-1	6.4	1.4	3.4	1.3	-1	6.4	4.4	-2	-1	1.5	-1
10187	1	Miskito Turtle Fishery				Tasbapauni	Nicaragua	Central America & Caribbean	1	1554000000	-2	10187.1	10187	Miskito Turtle Fishery	1	2	1		1813000000.5	0	0		2.5	1.5	1	1.5	2.5	1.5	2.5	2.4	-2	29.1	10187.1	8	1	-1	5	1860	1969	0	7	1	1	1	1	1	2	2		5.3	2.4	-1	82.4	-2	-2	-2	-2	2.4	3.4	1.3	1.3	-2	-2	-2	-2	-2	-2	1.4	1.4	1.4	4.4	-1	1.5	1.5	2.5	1.5	-2	2.5	2.5	3.4	1.5	-1	-1	-1	-1	-1	-2.	2	37.1	38.1	0	0	21212.4	44444	44444	44444	44444	44444	-1		-1	-1	0	38.1	This subgroup includes males who live in Tasbapauni and who turtle full-time.	0	80.5	-1	3.5	1.5	0%	2.5	Miskito Indian	2.5		2.5	Indian	-2		-1		2.5		2.5	1.4	1.4	2.4	2.4	3.4	6.4	2.4	1.4	1.5	1.5	3.4	1.3	-1	6.4	4.4	-2	1.4	1.5	-1
10159	1	Cat Harbour Cod Fishery				Cat Harbour, Newfoundland	Canada	North America	1	-1	-2	10159.1	10159	Cat Harbour Cod Fishery	1	2	1		0	0	0		2.5	1.5	2	1.5	2.4	1.4	2.4	1.4	4.4	30.1	10159.1	1	1	1	2	1930	1964	0	4	2	1	1	1	1	1	2		4.4	4.4	-1	-1	-2	-2	-2	-2	2.3	2.3	-1	-1	-2	-2	-2	-2	-2	-2	-1	1.4	1.5	1.5	2.3	1.5	1.5	2.4	1.5	-2	2.4	1.5	1.5	1.5	-1	5.3	2.3	-1	-1	01000.2	2	39.1	40.1	0	0	12222.5	44444	44444	44444	44444	44444	2.4		2.4	-1	0	39.1	This subgroup consists of the men who live in Cat Harbour and participate in the FALL cod fishery.	0	38.5	0	2.5	1.5	0%	1.5	WASP	2.5		1.5	Caucasian	-2		1.5	Protestant	1.5	English	1.5	1.5	1.5	1.5	1.5	1.5	6.5	2.3	1.4	6.4	1.4	-1	-1	2.4	6.4	2.3	2.3	-1	1.4	-2
10159	1	Cat Harbour Cod Fishery				Cat Harbour, Newfoundland	Canada	North America	1	-1	-2	10159.1	10159	Cat Harbour Cod Fishery	1	2	1		0	0	0		2.5	1.5	2	1.5	2.4	1.4	2.4	1.4	4.4	30.1	10159.1	1	1	1	2	1930	1964	0	4	2	1	1	1	1	1	2		4.4	4.4	-1	-1	-2	-2	-2	-2	2.3	2.3	-1	-1	-2	-2	-2	-2	-2	-2	-1	1.4	1.5	1.5	2.3	1.5	1.5	2.4	1.5	-2	2.4	1.5	1.5	1.5	-1	5.3	2.3	-1	-1	01000.2	2	39.1	40.1	0	0	12222.5	44444	44444	44444	44444	44444	2.4		2.4	-1	0	40.1	This subgroup consists of the men who live in Cat Harbour and participate in the SUMMER cod trap fishing.	0	72.5	-1	3.5	1.5	0%	1.5	WASP	2.5		1.5	Caucasian	-2		1.5	Protestant	1.5	English	1.5	1.5	1.5	1.5	1.5	1.5	6.5	2.3	1.4	6.4	1.4	-1	-1	2.4	6.4	2.3	1.3	1.3	1.4	-2
50116	16	Chiangmai Irrigation				Chiangmai Village	Thailand	Orient	5	0	-1	50116.1	50116	Chiangmai Irrigation	2	2	5	311	0	0	0		1.3	-2	-2	2.3	-2	1.5	3.3	1.3	3.3	31.1	50116.1	7	1	1	2	0	1972	1972	7	1	1	1	1	1	1	2	-2	-1	3.3	-2	-2	-1	-1	-1	-1	-1	3.3	-1	1.3	-1	2.3	-1	2.3	-1	2.3	-1	1.4	-1	1.3	1.3	2.3	2.3	2.3	2.3	1.3	2.3	1.3	1.3	3.3	1.5	3.3	1.3	-1	3.3	10010.3	1	41.1	0	0	0	44444	44444	44444	44444	44444	44444	2.3		2.3	2.3	0	41.1	All appropriators of the resource	-1	167.4	-1	4.4	2.3		2.3		2.3		2.3		1.3		2.3		1.3		1.3	1.3	1.3	1.4	1.3	3.3	6.4	-2	1.3	-1	-1	3.3	3.3	1.3	5.3	3.3	-2	1.3	1.4	1.3
